Unnamed: 0,肉桂,鹿茸,木香,延胡索,防风,独活,天麻,荆芥,薄荷,白术,白芷,干姜,当归,白芍,地榆,大黄,栀子,人参,麻黄,石膏,川芎,甘草,附子,滑石,丁香,黄连,秦艽,茯苓,山药,威灵仙,藿香,赤芍,牛膝,肉苁蓉,山茱萸,杜仲,苍术,全蝎,防己,石菖蒲,紫苏子,川楝子,乌药,薏苡仁,石斛,陈皮,牡丹皮,柴胡,桔梗,吴茱萸,泽泻,葛根,枳实,知母,枇杷叶,五加皮,乌梅,砂仁,草果,白扁豆,菟丝子,地骨皮,茵陈,豆蔻,莪术,沉香,槟榔,甘松,五味子,神曲,补骨脂,香附,连翘,莲子,紫菀,通草,款冬花,阿胶,丹参,柏子仁,百部,蝉蜕,桃仁,何首乌,远志,大枣,黄精,酸枣仁,车前子,鳖甲,桑寄生,瞿麦,山豆根,黄柏,艾叶,菊花,石决明,地肤子,蒲黄,郁金,蜈蚣,射干,覆盆子,红花,白蔹,百合,钩藤,麦芽,王不留行
当归,29,23,16,2,9,1,1,22,2,10,10,31,0,13,3,6,3,95,0,5,12,43,21,3,4,7,2,15,0,1,0,19,6,4,0,2,1,3,0,3,1,3,0,0,4,12,9,1,3,9,1,0,0,0,0,3,4,0,0,0,0,1,1,0,3,24,0,0,3,0,0,0,0,0,0,11,0,6,1,3,0,2,1,0,0,0,0,3,3,26,3,2,0,6,0,0,0,0,15,0,2,0,0,3,0,0,0,0,0
白芍,10,0,5,0,0,0,0,4,0,4,0,5,13,0,0,0,0,6,2,0,4,12,0,0,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
地榆,0,0,8,0,1,0,0,0,0,0,0,8,3,0,0,0,0,9,0,0,0,8,0,0,4,22,0,1,0,0,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大黄,5,0,7,0,1,1,0,0,1,0,4,1,6,0,0,0,9,2,1,1,0,11,0,2,1,4,0,0,0,0,5,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
栀子,1,0,0,0,1,0,0,0,2,0,1,0,3,0,0,9,0,1,1,3,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
人参,26,1,38,2,6,2,2,44,11,34,9,23,95,6,9,2,1,0,5,3,19,49,15,0,107,12,0,26,6,0,61,6,5,1,0,1,2,6,0,8,6,0,2,1,1,16,1,6,10,4,0,12,5,10,1,0,5,4,6,9,0,5,3,59,2,56,2,0,19,6,0,1,0,0,0,2,45,32,0,4,0,0,5,0,4,1,0,9,9,33,2,0,0,1,2,0,0,3,12,0,0,0,0,1,0,0,0,0,0
麻黄,7,0,3,0,3,2,1,4,2,4,5,8,0,2,0,1,1,5,0,3,4,24,3,0,1,0,1,8,0,0,2,5,0,0,0,0,4,1,0,1,6,0,2,0,0,8,1,1,3,0,1,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石膏,1,0,0,0,3,0,0,3,3,1,8,7,5,0,0,1,3,3,3,0,10,18,2,0,0,0,0,1,0,0,1,4,0,0,0,0,3,2,0,0,0,0,0,0,0,6,1,4,0,0,0,2,2,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川芎,6,0,3,2,25,0,4,9,4,2,19,5,12,4,0,0,1,19,4,10,0,24,0,0,10,0,4,10,1,0,9,5,1,1,0,0,3,2,0,0,0,0,0,1,1,3,2,4,3,0,1,0,0,0,0,0,1,0,6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,7,9,0,0,0,0,0,17,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甘草,36,0,29,1,13,5,2,16,9,33,25,85,43,12,8,11,8,49,24,18,24,0,18,8,33,6,2,29,7,1,33,15,4,0,0,2,11,3,3,0,2,3,3,0,3,52,3,11,27,0,1,5,5,10,1,2,10,16,7,9,1,2,1,2,8,8,1,3,9,0,0,1,2,0,1,8,10,5,0,1,0,1,3,0,0,1,0,0,6,1,1,4,2,5,0,2,0,0,1,1,2,1,0,1,0,0,0,0,0
附子,7,1,23,1,3,1,1,5,5,4,3,15,21,0,0,0,0,15,3,2,0,18,0,0,8,0,0,4,4,0,0,1,2,3,4,0,0,1,1,0,6,4,0,0,2,3,3,0,0,1,5,0,0,0,0,0,1,1,0,0,1,0,0,8,2,3,2,0,0,1,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
滑石,0,0,0,0,0,0,1,1,2,1,0,0,3,0,0,2,2,0,0,0,0,8,0,0,0,3,0,4,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丁香,5,5,56,0,1,1,0,0,0,3,1,8,4,1,4,1,0,107,1,0,10,33,8,0,0,5,0,11,0,0,41,0,0,0,0,1,0,0,0,0,1,0,3,1,0,13,0,0,4,0,0,0,0,0,3,0,3,17,3,0,0,0,0,81,6,50,2,3,6,3,0,1,1,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
黄连,2,0,21,0,3,0,0,4,4,0,0,5,7,2,22,4,0,12,0,0,0,6,0,3,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,1,0,0,13,0,1,1,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
秦艽,2,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茯苓,16,0,8,0,3,0,0,0,1,25,5,21,15,4,1,0,0,26,8,1,10,29,4,4,11,3,0,0,5,0,9,10,0,0,1,0,1,3,0,0,3,2,0,0,0,6,3,1,6,3,5,3,10,4,0,0,2,0,0,5,0,0,0,0,0,2,0,0,6,3,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
山药,3,1,3,0,0,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,1,7,4,0,0,0,0,5,0,1,3,0,0,0,3,0,3,0,0,2,0,1,1,1,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,4,5,0,0,0,0,2,1,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
威灵仙,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
